index,width,height,span,covering,num_longitude,diameter_longitude,num_hoop,diameter_hoop,concrete_stress,deflection,F_resistance,
176,29,36,290,4,4,2.08,16,0.6,0.000268,0.198,421,
177,29,36,290,4,4,2.08,16,0.6,0.000268,0.318,589,
178,29,36,290,4,4,2.08,16,0.6,0.000268,0.367,673,
179,29,36,290,4,4,2.08,16,0.6,0.000268,0.329,841,
180,29,36,290,4,4,2.08,16,0.6,0.000268,0.363,925,
181,29,36,290,4,4,2.08,16,0.6,0.000268,0.398,1010,
182,29,36,290,4,4,2.08,16,0.6,0.000268,0.615,1090,
183,29,36,290,4,4,2.08,16,0.6,0.000268,0.45,1140,
184,29,36,290,4,4,2.08,16,0.6,0.000268,0.467,1180,
185,29,36,290,4,4,2.08,16,0.6,0.000268,1.46,1220,
186,29,36,290,4,4,2.08,16,0.6,0.000268,1.69,1260,
187,29,36,290,4,4,2.08,16,0.6,0.000268,2.06,1260,
188,38,32,300,4,4,1.76,13,0.8,0.000268,0.00282,11.4,
189,38,32,300,4,4,1.76,13,0.8,0.000268,0.00557,22.8,
190,38,32,300,4,4,1.76,13,0.8,0.000268,0.00557,22.8,
191,38,32,300,4,4,1.76,13,0.8,0.000268,0.00833,34.2,
192,38,32,300,4,4,1.76,13,0.8,0.000268,0.0111,45.6,
193,38,32,300,4,4,1.76,13,0.8,0.000268,0.0125,51.3,
194,38,32,300,4,4,1.76,13,0.8,0.000268,0.0138,57,
195,38,32,300,4,4,1.76,13,0.8,0.000268,0.0166,68.4,
196,38,32,300,4,4,1.76,13,0.8,0.000268,0.0221,91.2,
197,38,32,300,4,4,1.76,13,0.8,0.000268,0.0249,103,
198,38,32,300,4,4,1.76,13,0.8,0.000268,0.066,108,
199,38,32,300,4,4,1.76,13,0.8,0.000268,0.0703,114,
200,38,32,300,4,4,1.76,13,0.8,0.000268,0.162,228,
201,38,32,300,4,4,1.76,13,0.8,0.000268,0.222,342,
202,38,32,300,4,4,1.76,13,0.8,0.000268,0.357,570,
203,38,32,300,4,4,1.76,13,0.8,0.000268,0.51,798,
204,38,32,300,4,4,1.76,13,0.8,0.000268,0.643,912,
205,38,32,300,4,4,1.76,13,0.8,0.000268,0.61,946,
206,38,32,300,4,4,1.76,13,0.8,0.000268,0.693,980,
207,38,32,300,4,4,1.76,13,0.8,0.000268,1.34,1030,
208,38,32,300,4,4,1.76,13,0.8,0.000268,1.44,1080,
209,38,32,300,4,4,1.76,13,0.8,0.000268,1.85,1140,
210,38,32,300,4,4,1.76,13,0.8,0.000268,2.28,1140,
216,38,32,300,4,4,2.24,13,0.8,0.000268,0.00185,11.4,
217,38,32,300,4,4,2.24,13,0.8,0.000268,0.00813,34.2,
218,38,32,300,4,4,2.24,13,0.8,0.000268,0.0108,45.6,
219,38,32,300,4,4,2.24,13,0.8,0.000268,0.0122,51.3,
220,38,32,300,4,4,2.24,13,0.8,0.000268,0.0109,54.7,
221,38,32,300,4,4,2.24,13,0.8,0.000268,0.0113,57,
222,38,32,300,4,4,2.24,13,0.8,0.000268,0.0162,68.4,
223,38,32,300,4,4,2.24,13,0.8,0.000268,0.0189,79.8,
224,38,32,300,4,4,2.24,13,0.8,0.000268,0.0181,91.2,
225,38,32,300,4,4,2.24,13,0.8,0.000268,0.0243,103,
226,38,32,300,4,4,2.24,13,0.8,0.000268,0.0227,114,
227,38,32,300,4,4,2.24,13,0.8,0.000268,0.0297,125,
228,38,32,300,4,4,2.24,13,0.8,0.000268,0.0718,137,
229,38,32,300,4,4,2.24,13,0.8,0.000268,0.0752,143,
230,38,32,300,4,4,2.24,13,0.8,0.000268,0.0786,148,
231,38,32,300,4,4,2.24,13,0.8,0.000268,0.0928,171,
232,38,32,300,4,4,2.24,13,0.8,0.000268,0.141,228,
233,38,32,300,4,4,2.24,13,0.8,0.000268,0.175,342,
234,38,32,300,4,4,2.24,13,0.8,0.000268,0.339,570,
235,38,32,300,4,4,2.24,13,0.8,0.000268,0.443,798,
236,38,32,300,4,4,2.24,13,0.8,0.000268,0.633,1030,
237,38,32,300,4,4,2.24,13,0.8,0.000268,0.648,1050,
