index,width,height,span,covering,num_longitude,diameter_longitude,num_hoop,diameter_hoop,concrete_stress,deflection,F_resistance
171.0,38.0,32.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,0.00282,11.4
172.0,38.0,32.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,0.00557,22.8
173.0,38.0,32.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,0.00557,22.8
174.0,38.0,32.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,0.008329999999999999,34.2
175.0,38.0,32.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,0.0111,45.6
176.0,38.0,32.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,0.0125,51.3
177.0,38.0,32.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,0.0138,57.0
178.0,38.0,32.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,0.0166,68.4
179.0,38.0,32.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,0.0221,91.2
180.0,38.0,32.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,0.0249,103.0
181.0,38.0,32.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,0.066,108.0
182.0,38.0,32.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,0.0703,114.0
183.0,38.0,32.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,0.162,228.0
184.0,38.0,32.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,0.222,342.0
185.0,38.0,32.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,0.35700000000000004,570.0
186.0,38.0,32.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,0.51,798.0
187.0,38.0,32.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,0.643,912.0
188.0,38.0,32.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,0.61,946.0
189.0,38.0,32.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,0.693,980.0
190.0,38.0,32.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,1.34,1030.0
191.0,38.0,32.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,1.44,1080.0
192.0,38.0,32.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,1.85,1140.0
193.0,38.0,32.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,2.28,1140.0
194.0,38.0,32.0,300.0,4.0,4.0,2.24,13.0,0.8,0.000268,0.00185,11.4
195.0,38.0,32.0,300.0,4.0,4.0,2.24,13.0,0.8,0.000268,0.00813,34.2
196.0,38.0,32.0,300.0,4.0,4.0,2.24,13.0,0.8,0.000268,0.0108,45.6
197.0,38.0,32.0,300.0,4.0,4.0,2.24,13.0,0.8,0.000268,0.0122,51.3
198.0,38.0,32.0,300.0,4.0,4.0,2.24,13.0,0.8,0.000268,0.0109,54.7
199.0,38.0,32.0,300.0,4.0,4.0,2.24,13.0,0.8,0.000268,0.0113,57.0
200.0,38.0,32.0,300.0,4.0,4.0,2.24,13.0,0.8,0.000268,0.0162,68.4
201.0,38.0,32.0,300.0,4.0,4.0,2.24,13.0,0.8,0.000268,0.0189,79.8
202.0,38.0,32.0,300.0,4.0,4.0,2.24,13.0,0.8,0.000268,0.0181,91.2
203.0,38.0,32.0,300.0,4.0,4.0,2.24,13.0,0.8,0.000268,0.0243,103.0
204.0,38.0,32.0,300.0,4.0,4.0,2.24,13.0,0.8,0.000268,0.0227,114.0
205.0,38.0,32.0,300.0,4.0,4.0,2.24,13.0,0.8,0.000268,0.0297,125.0
206.0,38.0,32.0,300.0,4.0,4.0,2.24,13.0,0.8,0.000268,0.0718,137.0
207.0,38.0,32.0,300.0,4.0,4.0,2.24,13.0,0.8,0.000268,0.0752,143.0
